"ABBREV";"LABEL";"NAME";"DESCRIPTION";"DATA_TYPE";"NOT_NULL";"TYPE";"STATUS";"DISPLAY_NAME";"ONTOLOGY_REFERENCE";"BIBLIOGRAPHICAL_REFERENCE";"PROPERTY";"METHOD";"SCALE";"SCALE_UNIT";"SCALE_TYPE";"SCALE_LEVEL";"DEFAULT_VALUE";"MINIMUM_VALUE";"MAXIMUM_VALUE";"VARIABLE_SET";"SYNONYM";"ENTRY_MESSAGE";"CODED_VALUES";"NOTES"
"Thr_SCOR_1_9";"Thr";"panicle threshability";"At growth stage: 9";"integer";"FALSE";"observation";"active";"Panicle Threshability";;"SES 4th Ed. 1996";;"Firmly grasp and pull the hand over the panicle and estimate the percentage of shattered grains.";"1= Difficult (less than 1%)\n3= Moderately difficult (1-5%)\n5= Intermediate (6-25%)\n7= Loose (26-50%)\n9= Easy (51-100%)";;"categorical";;;1;9;"agronomic";;;;"added by consie"
"PnT_SCOR_1_3";"PnT";"panicle type";"Panicle types are classified according to their mode of branching, angle of primary branches, and spikelet density. [CO:rs]";"integer";"FALSE";"observation";"active";"Panicle Type";"CO_320:0000018";"Crop Ontology";;;"1 Compact\n2 Intermediate\n3 Open. [SES:110]";;"categorical";;;1;3;"morphological";;;;"consie"
"PnT_SCOR_1_9";"PnT";"panicle type";"Panicles are classified according to their mode of branching, angle of primary branches, and spikelet density.";"integer";"FALSE";"observation";;"Panicle Type";;"SES 4th Ed. 1996";;"At growth stage: 8";"1= Compact\n5= Intermediate\n9= Open";;"categorical";;;1;9;"morphological";;;;"added by consie"
;;"panicle weight";"Average weight of the panicle from the plants or tillers in a given study. [CO:rs]";;"FALSE";;"active";"Panicle Weight";"CO_320:0000478";;;;;;"continuous";;;;;;;;;
"PESTICIDE";"Pesticide";"Pesticide";"Pesticide used";"character varying";"FALSE";"metadata";;"Pesticide";;;;"Record the pesticide used";;;"continuous";;;;;"field management";;;;"added by consie"
"Date_Pest_CONT";"Date_Pesticide";"Pesticide application date";"Date of pesticide application";"character varying";"FALSE";"metadata";;"Pesticide application date";;;;"Record the date of pesticide application";;;"continuous";;;;;"field management";;;;"added by consie"
"PAcp_SCOR_1_7";"PAcp";"phenotypic acceptability";"Breeding objectives for each variety and trait varies. The evaluation should reflect the overall acceptability of the variety. At growth stage: 9. [CO:rs]";"integer";"FALSE";"observation";"active";"Phenotypic Acceptability";"CO_320:0000075";"Crop Ontology";;;"1= Excellent\n3= Good\n5= Fair\n7= Poor\n9= Unacceptable.";;"categorical";;;1;9;"agronomic";"PAcp;phenotyphic acceptability";;;"added by consie"
"PDef_SCOR_1_9";"PDef";"phosphorus deficiency";"Sensitivity to the phosphorous content in the growth environment. [CO:rs]";"integer";"FALSE";"observation";;"Phosphorus deficiency";"CO_320:0000065";"Crop Ontology";;;"SCALE (Relative tillers)\n1= 80-100%\n3= 60-79%\n5= 40-59%\n7= 20-39%\n9= 0-19%. [SES:73]";;"categorical";;;1;9;"stress";"phosphorus sensitivity";;;"added by consie"
"PDef_GRNH_1_9";"PDef";"phosphorus deficiency";;"integer";"FALSE";"observation";;"Phosphorus deficiency";;"SES 4th Ed. 1996";;"At growth stage: 2-5\n\nGreenhouse: [No. of tillers in 0.5 ppm P culture solution/No. of tillers in 10 ppm P culture solution]  X  100\n\nField: [No. of tillers with no P/No. of tillers with 25 kg P per ha]  X  100";"SCALE (Relative tillers)\n1= 80-100%\n3= 60-79%\n5= 40-59%\n7= 20-39%\n9= 0-19%";;"categorical";;;1;9;"stress";;;;"added by consie"
"P1_FLD_1_9";"P1";"phosphorus deficiency";"Observation done in the field";"integer";"FALSE";"observation";;"Phosphorus deficiency";;;;;"SCALE (Relative tillers)\n1= 80-100%\n3= 60-79%\n5= 40-59%\n7= 20-39%\n9= 0-19%";;"categorical";;;1;9;"stress";;;;"added by consie"
;"Phosphorus";"Phosphorus Fertilizer";"Amount of phosphorus fertilizer applied";"integer";"FALSE";"metadata";"active";"Phosphorus Fertilizer applied";;"IRIS";;;"measured in Kg or in grams";;"continuous";;;;;"field management";;;;"added by weusebio"
"HT_SCOR_1_9";"HT";"plant height";"Plant height measured from the soil surface to the tip of the tallest panicle (awn excluded). At growth stage: 7-9. [CO:rs]";"integer";"FALSE";"observation";"active";"Plant Height";"CO_320:0000480";"Crop Ontology";;"Use actual measurement (cm) from soil surface to tip of the tallest panicle (awns excluded) or flag leaf. For height measurements at other growth stages, specify the stage. Record in whole numbers (do not use decimals). []";"1= Semidwarf (lowland: less than 110 cm); upland: less than 90 cm)\n5= intermediate (lowland: 110-130 cm; upland: 90-125 cm)\n9= Tall (lowland: more than 130 cm; upland: more than 125 cm)";;"categorical";;;1;9;"agronomic";"Ht,PLHT";;;"checked by consie"
"HT_CONT";"HT";"plant height";"Plant height measured from the soil surface to the tip of the tallest panicle (awn excluded). At growth stage: 7-9.";"integer";"FALSE";"observation";;"Plant Height";;;;"Use actual measurement (cm) from soil surface to tip of the tallest panicle (awns excluded) or flag leaf. For height measurements at other growth stages, specify the stage. Record in whole numbers (do not use decimals). []";;;"categorical";;;1;9;"agronomic";"Ht,PLHT";;;
"HT1_CONT";"HT1";"plant height";"Plant height from plant sample 1";"character varying";"FALSE";"observation";;"Plant height";;;;"At maturity (Stages 7-9) - Plant sample 1";"Measured in cm";;"continuous";;;;;"agronomic";;;;"added by consie"
"HT2_CONT";"HT2";"plant height";"Plant height from plant sample 2";"character varying";"FALSE";"observation";;"Plant height";;;;"At maturity (Stages 7-9) - Plant sample 2";"measured in cm";;"continuous";;;;;"agronomic";;;;"added by consie"
"HT3_CONT";"HT3";"plant height";"Plant height from plant sample 3";"character varying";"FALSE";"observation";;"plant height";;;;"At maturity (Stages 7-9) - Plant sample 3";"measured in cm";;"continuous";;;;;"agronomic";;;;"added by consie"
"HT4_CONT";"HT4";"plant height";"Plant height from plant sample 4";"character varying";"FALSE";"observation";;"plant height";;;;"At maturity (Stages 7-9) - Plant sample 4";"measured in cm";;"continuous";;;;;"agronomic";;;;"added by consie"
"PLOTNO";"PLOTNO";"Plot number";"Plot number in the field layout";"character varying";"TRUE";"identification";"active";"Plot Number";;;;;;;"continuous";;;;;"plot identifier";;;;"added by weusebio"
;;"pollen sterility";"Determination of sterile pollen. Expressed in percentage. [CO:rs]";"character varying";"FALSE";"observation";"active";"Pollen Sterility";"CO_320:0000327";"Crop Ontology";;"Observed under a microscope at magnification 10x10 after staining with 1% iodine potassium iodide (IKI) solution";;;"categorical";;;;;"hybrid";;;;"added by consie"
;;"pollen sterility";;"integer";"FALSE";"observation";"active";"Pollen Sterility";;"SES 4th Ed. 1996";;"It is observed in the microscope under magnification of 10x10 after staining pollen grains with 1% Iodine Potassium Iodine (IKI) solution. Saples for pollen are collected from at least ten florets from individual plants at growth stages 6 and fixed in 70% alcohol. Two to three anthers are extracted from five of the florets on a glass slide and pollen are squeezed out with a spear-shaped needle in a drop of IKI solution. At least three microscopic fields are used to cout sterile pollen grains (viz., unstrained withered, unstained spherical and partially-stained round) and fertile pollen grains (stained round); percentage sterility is calculated as: [number of (unstained withered + unstained spherical + partially stained round) pollen/total number of pollen grains (including fertile)] x 100";"1= Completely sterile (100)\n3= Highly sterile (99.0-99.9)\n5= Sterile (95.098.9)\n7= Partially sterile (70.0-94.9)\n9= Partially fertile to fertile (<70)";;"categorical";;;1;9;"hybrid";;;;"added by consie"
;"Potassium";"Potassium Fertiliizer";"Amount of potassium fertilizer applied";"integer";"FALSE";"metadata";"active";"Potassium Fertilizer applied";;"IRIS";;;"measured in Kg or in grams";;"continuous";;;;;"field management";;;;"added by weusebio"
"PRODUCT_ID";"PRODUCT_ID";"Product ID";"ID of the product in the entry";"integer";"TRUE";"identification";;"Product ID";;;;;;;"continuous";;;;;"entry identifier";;;;"weusebio"
"PRODUCT_GID";"PRODUCT_GID";"Product GID";"GID of the product entry";"integer";"FALSE";"metadata";;"Product GID";;;;;;;"continuous";;;;;"entry metadata";;;;
;;"ragged stunt";;;"FALSE";"observation";;"Ragged stunt";"CO_320:0000183";"Crop Ontology";;;;;;;;;;"stress";;;;"added by consie"
;;"rat damage";"The trait is scored for the plant damage caused by rat. [CO:rs]";;"FALSE";"observation";;"rat damage";"CO_320:0000214";"crop Ontology";;;;;;;;;;"stress";;;;"added by consie"
;"RD";"rat damage";"Since there is no genetic resistance to rats, the damage can be quantified as it does not represent resistance.";"integer";"FALSE";"observation";;"rat damage";;"SES 4th Ed. 1996";;;"Scale (Damaged plants)\n0= No damage observed\n1= Less than 5%\n5= 6-25%\n9= 26-100%";;"categorical";;;0;9;"stress";;;;"added by consie"
;;"rhizome formation";;"integer";"FALSE";;"active";"Rhizome Formation";"CO_320:0000285";;;"Observe when plants are ready for harvest. [RD:7.3.36]";"1 Vegetative crown\n2 Vegetative crown and stolon\n3 Vegetative crown and weak rhizomes\n4 Vegetative crown, stolon and weak rhizomes\n5 Strong rhizomes and no tubers\n6 Strong rhizomes with tubers. [RD:7.3.36]";;"categorical";;;1;6;"morphological";;;;
;"RB";"rice bug";"Causal agent: Leptocorisa oratorius";"integer";"FALSE";"observation";;"rice bug damage";;"SES 4th Ed. 1996";;"At growth stage: 7-9";"0= No damage\n1= Less than 3\n3= 4-7\n5= 8-15\n7= 12-25\n9= 26-100";;"categorical";;;0;9;"stress";;;;"added by consie"
;;"rice bug damage";"The trait is scored for the plant damage caused by rice bug (Leptocorisa oratorisa). [CO:rs]";"integer";"FALSE";"observation";;"rice bug damage";"CO_320:0000203";"Crop Ontology";;;"Scale Injured grains per panicle (%)\n0 No injury\n1 Less than 3\n3 4-7\n5 8-15\n7 12-25\n9 26-100. [SES:68]";;"categorical";;;0;9;"stress";;;;"added by consie"
;;"rice delphacid";"The trait is scored for the plant damage caused by rice delphacid [Sogatodes oryzicola (Tagosodes orizicolus)]. [CO:rs]";"integer";"FALSE";"observation";;"rice delphacid";"CO_320:0000216";"Crop Ontology";;"Symptoms: Similar to whitebacked planthopper (WBHP).At growth stage: 2 (green house); 2-6 (field).";"0= No injury\n1= 1-10%\n3= 11-20%\n5= 21-30%\n7= 31-60%\n9= 61% and above. [SES:62]";;"categorical";;;0;9;"stress";"RDel";"Note: The scale is based on symptoms. Incidence of dead plants could be considered for final evaluation.";;"added by consie"
;"RDel";"rice delphacid";"Causal agent: Tagosodes orizicolus.\nSymptoms: Similar to WBPH.";"integer";"FALSE";"observation";;"rice delphacid";;"SES 4th Ed. 1996";;"At growth stage: 2 (greenhouse)\n2-6 (field).\n\nNote: The scale if based on symptoms. Incidence of dead plants could be considered for final evaluation.";"0= No damage\n1= Very slight damage/leaf discoloration\n3= Yellowing of 1st and 2nd leaves\n5= Pronounced yellowing of leaves and some stunting, less than 50% of plants dead\n7= Strong yellowing of leaves and pronounced stunting, greated than 50% of plants dead\n9= All plants dead";;"categorical";;;0;9;"stress";;;;"added by consie"
;"MLO";"rice disease caused by  viruses and mycoplasma-like organisms";"The reaction of a certain genotype to rice virus infection can be assessed by a skilled worker based on visible symptoms after inoculation under natural conditions (in a field), or under controlled conditions (in a greenhouse). The factors needed for a successful test are the presence of virus souces and insect vectors, inoculation at the susceptible growth stage of the test plants and favorable environmental conditions. ";"integer";"FALSE";"observation";;"MOL";;"SES 4th Ed. 1996";;"Field test: Screening of test materials, notably breeding lines, can be done in the field and their reaction to virus infection can  be assessed on a scale 0-9 based on the percentage of infection observed.\n\nGreenhouse test: However, field tests generallyselect vector resistance and are not appropriate for selecting virus resistance. Resistance to the virus can be assessed in the greenhouse where factors needed for infection can be manipulated. Inoculation using a high number of vectors is desired and the susceptible check should have at least 90% infection. A healthy check would be also useful as a reference to measure plant height. Since some fertilizers might affect symptoms, it is recommended not to use any during the experiment. A disease index (DI) for the genotype, which would represent both disease incidence and symptom severity, can be used as an indicator for virus resistance in a greenhouse test. DI can be calculated as: DI= n(3)+n(5)+n(7)+n(9)/tn\n\n\nWhere: n(3), n(5), n(7) and n(9) = number of plant showing a reaction in scale 3,5,7, or 9, respectively.\ntn= total number of plants scores";"Scale (% infection)\n\n0= No symptom observed\n1= 1-10%\n3= 11-30%\n5= 31-50%\n7= 51-70%\n9= 71-100%";;"categorical";;;0;9;"stress";;"The resulting DI can be classified as:\n\nDI   Reaction\n\n0-3   Resistance/Tolerant\n4-6   Moderate\n7-9   Susceptible";;"added by consie"
;"RHBV";"rice hoja blanca";"Causal agent: Rice hoja blanca virus.\n\nSymptoms: Cream colored to yellow spots, elongating and coalescing fo form longitudinal yellowish green to pale green striations. Streaks may coalesce to cover the whole leaf. Brown and sterile glumes with typical ""parrot beak"" shape of deformation.\n\n\nAt growth stage: 2-4 (leaf)\n7-8 (panicle).\n\n\nNote: To determine the degree of resistance in fixed lines under field conditions, susceptible check should have at least more than 50% infection.";"integer";"FALSE";"observation";"active";"Rice Hoja Blanca";;"SES 4th Ed. 1996";;;"Scale (percent of affected plants)\n\n0= No symptoms\n1= Less than 1%\n3= 1-10%\n5= 11-30%\n7= 31-60%\n9= 61-100%";;"categorical";;;0;9;"stress";;;;"added by consie"
;;"rice leaf blast";;"character varying";"FALSE";"observation";"active";"Blast";"CO_320:0000341";"Crop Ontology";;;"SCALE (for blast nursery)\n0= No lesions observed\n1= Small brown specks of pin-point size or larger brown specks without sporulating center\n2= Small roundish to slightly elongated, necrotic gray spots, about 1-2 mm in diameter, with a distinct brown margin\n3= Lesion type is the same as in scale 2, but a significant number of lesions are on the upper leaves\n4= Typical susceptible blast lesions2 3 mm or longer, infecting less than 4% of the leaf area\n5= Typical blast lesions infecting 4-10% of the leaf area\n6= Typical blast lesions infection 11-25% of the leaf area\n7= Typical blast lesions infection 26-50% of the leaf area\n8= Typical blast lesions infection 51-75% of the leaf area and many leaves are dead\n9= More than 75% leaf area affected.\n\n\nCODE (Predominant lesion type)\n0= No lesions observed\n1 Small brown specks of pinpoint size or larger brown specks without sporulating center\n3= Small, roundish to slightly elongated necrotic sporulating spots, about 1-2 mm in diameter with a distinct brown margin or yellow halo\n5= Narrow or slightly elliptical lesions, 1-2 mm in breadth, more than 3 mm long with a brown margin\n7= Broad spindle-shaped lesion with yellow, brown, or purple margin\n9= Rapidly coalescing small, whitish, grayish, or bluish lesions without distinct margins. [SES:30]";;"categorical";"ordinal";;"0 No lesions observed";"9 More than 75% leaf area affected.";"stress";"Blast;leaf blast;rice blast";;"0 No lesions observed;1 Small brown specks of pin-point size or larger brown specks without sporulating center;2 Small roundish to slightly elongated, necrotic gray spots, about 1-2 mm in diameter, with a distinct brown margin;3 Lesion type is the same as in scale 2, but a significant number of lesions are on the upper leaves;4 Typical susceptible blast lesions2 3 mm or longer, infecting less than 4% of the leaf area;5 Typical blast lesions infecting 4-10% of the leaf area;6 Typical blast lesions infection 11-25% of the leaf area;7 Typical blast lesions infection 26-50% of the leaf area;8 Typical blast lesions infection 51-75% of the leaf area and many leaves are dead;9 More than 75% leaf area affected.";"checked by consie"
;"RRSV";"rice ragged stunt disease";"Causal agent: Rice ragged stunt virus (RRSV).\n\nSymptoms: Plants are stunted but remain dark green. Leaves are ragged and twisted. Vein swelling on leaf collar, leaf blades and leaf sheaths.\n\nAt growth stages:\n2-3 (for the greenhouse)\n4-6 (for the field)";"integer";"FALSE";"observation";"active";"Rice ragged stunt disease";;"SES 4th Ed. 1996";;"Score and calculate DI at 5 weeks after inoculation in the greenhouse.";"1= No symptom observed\n3= 0-10% height reduction, no ragged/twisted leaf, small and very few vein swelling usually on leaf collar.\n5= 0-10% height reduction, 1-2 leaves have ragged/twisted symptoms, few vein swelling on leaf collar.\n7= 11-30% height reduction, 3-4 leaves have ragged/twisted symptoms, more vein swelling on leaf collar, and some on leafblades and leafsheaths.\n9= More than 30% height reduction, most leaves have ragged/twisted symptoms, vein swelling common on leafsheaths and leafblades.";;"categorical";;;1;9;"stress";;;;"added by consie"
"RTD1_FLD_1_9";"RTD1";"rice tungro disease";"Causal agent: Rice tungro virus bacilliform virus (RTBV) and rice tungro spherical virus (RTSV).\n\nSymptoms: Yellow to yellow orange leaves, stunting and slightly reduced tillering.\nAt growth stages: 2 (for the greenhouse)\n3-5 (for the field).";"integer";"FALSE";"observation";"active";"Rice tungro disease";;"SES 4th Ed. 1996";;"Score and calculate DI at 4 weeks after inoculation in the greenhouse.";"1= No symptom observed\n3= 1-10% height reduction, no distinct yellow to yellow orange leaf discoloration\n5= 11-30% height reduction, no distinct yellow to yellow orange leaf discoloration\n7= 31-50% height reduction, with distinct yellow to yellow orange leaf discoloration\n9= More than 50% height reduction, with distinct yellow to yellow orange discoloration";;"categorical";;;1;9;"stress";;;;"added by consie"
"RTD_GRNH_PERC";"RTD";"rice tungro disease";"Causal agent: Rice tungro virus bacilliform virus (RTBV) and rice tungro spherical virus (RTSV).\n\nSymptoms: Yellow to yellow orange leaves, stunting and slightly reduced tillering.\nAt growth stages: 2 (for the greenhouse)\n3-5 (for the field).";"float";"FALSE";"observation";"active";"Rice tungro disease";;;;;"Percent";;"continuous";;;;;"stress";;;;"added by consie"
;;"rice tungro virus";"The trait is scored for the plant response to the agent rice tungro bacilliform virus (RTBV) and rice tungro spherical virus (RTSV). [CO:rs]";"integer";"FALSE";"observation";"active";"Rice Tungro Virus";"CO_320:0000351";"Crop Ontology";;;"1= No symptom observed\n3= 1-10% height reduction, no distinct yellow to yellow orange leaf discoloration\n5= 11-30% height reduction, no distinct yellow to yellow orange leaf discoloration\n7= 31-50% height reduction, with distinct yellow to yellow orange leaf discoloration More than 50% height reduction, with distinct yellow to yellow orange discoloration.";;"categorical";;;1;7;"stress";;;;"added by consie"
;;"rice whorl maggot";"The trait is scored for the plant damage caused by rice whorl maggot (Hydrellia philippina). [CO:rs]";"integer";"FALSE";"observation";;"rice whorl maggot";"CO_320:0000206";"Crop Ontology";;;"SCALE (for field test)\n0 No injury\n1 Less than 2 leaves/hill injured\n3 2 or more leaves/hill but less than 1/3 of leaves injured\n5 1/3 to 1/2 of leaves injured\n7 More than 1/2 of the leaves injured with no broken leaves\n9 More than 1/2 of the leaves injured with some broken leaves. [SES:67]";;"categorical";;;0;9;"stress";;;;"added by consie"
;"RWM";"rice whorl maggot";"Causal agent: Hydrellia philippina.\nSymptoms: Leaf margin feeding causes conspicuous damage and sometimes stunting of plants.";"integer";"FALSE";"observation";;"rice whorl maggot";;"SES 4th Ed. 1996";;"At growth stage: 3";"0= No damage\n1= Less than 2 leaves/hill damaged\n3= 2 or more leaves/hill but less than 1/3 of leaves damage\n5= 1/3 to 1/2 of leaves damage\n7= More than 1/2 of the leaves damage with no broken leaves\n9= More than 1/2 of the leaves damage with some broken leaves.";;"categorical";;;0;9;"stress";;;;"added by consie"
;"RYMV";"rice yellow mottle ";"Causal agent: Rice yellow mottle virus.\n\nSymptoms: Stunting, reduced tillering, mottling and yellowing streaking of the leaves, delayed flowering or incomplete emergence of the panicles; in extreme cases, death of plants.\n\nAt growth stage: 4-6 (field).";"integer";"FALSE";"observation";"active";"Rice yellow mottle";;"SES 4th Ed. 1996";;;"SCALE (for field test)\n1= No symptom observed\n3= Leaves green but with sparse dots or streaks and less than 5% of height reduction\n5= Leaves green or pale green with mottling and 6% to 25% of height reduction, flowering slightly delayed\n7= Leaves pale yellow or yellow and 26-75% of height reduction, flowering delayed\n9= Leaves turn yellow or orange, more than 75% of height reduction, no flowering or some plants dead.";;"categorical";;;1;9;"stress";;;;"added by consie"
;"ROW";"Row in layout";"Specific row position of plot in the Latin Square randomized layout in the field";"integer";"FALSE";"metadata";;"Row in layout";;;;;;;"continuous";;;;;"design factor";;;;"please add details, marko - added by weusebio"
"ROW_LENGTH";;"row length";"Row length";"float";"FALSE";"metadata";;"row length";;;;"Measure row length";;;"continuous";;;;;"field management";;;;"added by consie"
"SAL1_FLD_1_9";"Sal1";"salinity injury";"Observation done in the field";"integer";"FALSE";"observation";;"salinity injury";;"SES 4th Ed. 1996";;;"Scale (Alkali & salt injury)\n\n1- Growth and tillering nearly normal\n3= Growth nearly normal but there is some reduction in tillering and some leaves discolored (alkali)/whitish and tolled (salt)\n5= Growth and tillering reduced; most leaves discolored (alkali)/rolled (salt); only a few elongating\n7= Growth completely ceases; most leaves dry; some plant dying\n9= Almost all plants dead or dying";;"categorical";;;1;9;"stress";;;;"added by consie"
"SAL_GRNH_1_9";"SAL";"Salt injury";"Observe general growth conditions in relation to standard resistance and susceptible checks. Since some soil problems are very heterogenous in the field, several replications may be needed to obtain precise reading.";"integer";"FALSE";"observation";;"Salt injury";;"SES 4th Ed. 1996";;"At growth stage: 3-4";"Scale (Alkali & salt injury)\n\n1- Growth and tillering nearly normal\n3= Growth nearly normal but there is some reduction in tillering and some leaves discolored (alkali)/whitish and tolled (salt)\n5= Growth and tillering reduced; most leaves discolored (alkali)/rolled (salt); only a few elongating\n7= Growth completely ceases; most leaves dry; some plant dying\n9= Almost all plants dead or dying";;"categorical";;;1;9;"stress";;"Leaf is counted as discolored or dead if more than half of its area if discolored or dead.";;"added by consie"
;"SALTOL";"salt tolerance";"Tolerance to the high salt content in the growth medium. [CO:rs]";;"FALSE";"observation";;"Salt tolerance";"CO_320:0000066";"Crop Ontology";;;;;;;;;;"stress";"Sal;salinity tolerance;salt injury;salt sensitivity";;;"added by consie"
"SCT_SCOR_0_2";"Sct";"scent";;"integer";"FALSE";"observation";;"scent";;"SES 4th Ed. 1996";;"at growth stage: 6-9";"Code (At flowering or at maturity - by cooking test)\n\n0= Nonscented\n1= Lightly scented\n2= Scented";;"categorical";;;0;2;"grain quality";;;;"added by consie"
;"PnBr";"secondary branching of panicles";"The extent of secondary branching usually determines the shape and compactness of the panicle. [CO:rs]";"integer";"FALSE";;"active";"Secondary Branching Of Panicles";"CO_320:0000421";;;;"0 Absent\n1 Light\n2 Heavy\n3 Clustered. [SES:111]";;"categorical";;;0;3;"morphological";"secondary branching of inflorescence";;;
"SG_PERC";;"seed germination";"The physiological and developmental changes that occur in a seed commencing with water uptake (imbibition) and terminating with the elongation of the embryonic axis. [CO:rs]";"float";"FALSE";"observation";;"Seed germination";"CO_320:0000086";"Crop Ontology";;;"% germinated seeds";;"continuous";;;;;"agronomic";;;;"added by consie"
;"SOURCE";"Seed Source";"a human-readable description of the seeds used by a study entry";"character varying";"FALSE";"metadata";"active";"Seed Source";;"IRIS";;;;;"continuous";;;;;"design factor";;;;"added by weusebio"
"SEEDING_DATE_CONT";"SEEDING_DATE";"Seeding Date";"Date of seeding";"integer";"FALSE";"metadata";"active";"Seeding date";;"IRIS";;;"ICIS date format";;"continuous";;;;;"design factor";;;;"added by weusebio"
;;"seedling height";"Actual measurements of 10 seedlings in centimeters, from the base of the shoot to the tip of the tallest leaf blade. [CO:rs]";"integer";"FALSE";;"active";"Seedling Height";"CO_320:0000228";;;"Measured from the base of the shoot to the tip of the tallest leaf blade, to nearest cm. Average of 10 seedlings. Stage: 5-leaf stage. [RD:7.3.2]";"3 Short (<30 cm)\n5 Intermediate (~45 cm)\n7 Tall (>60 cm). [RD:7.3.2]";;"categorical";;;3;7;"morphological";"SH";;;
;;"seedling height";"Actual measurements of 10 seedlings in centimeters, from the base of the shoot to the tip of the tallest leaf blade. [CO:rs]";"float";"FALSE";;"active";"Seedling Height";"CO_320:0000233";"SES 4th editon 1996";;"Measured from the base of the shoot to the tip of the tallest leaf blade, to nearest cm. Average of 10 seedlings. Stage: 5-leaf stage. [RD:7.3.2]";"Measured in cm. [RD:7.3.2]";;"continuous";;;;;"morphological";"SH";;;"weusebio"
;;"seedling height";"Actual measurements of 10 seedlings in centimeters, from the base of the shoot to the tip of the tallest leaf blade. [CO:rs]";"integer";"FALSE";;"active";"Seedling Height";"CO_320:0000228";"Crop Ontology";;"Measured from the base of the shoot to the tip of the tallest leaf blade, to nearest cm. Average of 10 seedlings. Stage: 5-leaf stage. [RD:7.3.2]";"3= Short (<30 cm)\n5= Intermediate (~45 cm)\n7=Tall (>60 cm)";;"categorical";;;;;"morphological";"SH";;;"added by weusebio"
"VG_SCOR_1_9";"VG";"Seedling vigor";;"integer";"FALSE";"observation";"active";"Seedling Vigor";"CO_320:0000077";"Crop Ontology";;;"1= Extra vigorous (very fast growing; plants at 5-6 leaf stage have 2 or more tillers in majority of population)\n3= Vigorous (fast growing; plants at 4-5 stage have 1-2 tillers in majority of population)\n5= Normal (plant at 4-leaf stage)\n7= Weak (plants somewhat stunted; 3-4 leaves; thin population; no tiller formation)\n9= Very weak (stunted growth; yellowing of leaves).";;"categorical";;;1;9;"agronomic";"germination vigor;GRVG;plant vigor;PLVG;SDVG;seedling vigor;Vg";;;"added by consie"
;"VG";"Seedling/vegetative vigor";"Several factors may interact, influencing seedling vigor (e.g. tillering ability, plant heighjt, etc.). Use this scale for evaluating genetic material and varieties under stress and non-stress conditions. At growth stage, seedling vigor: 2, vegetative vigor: 3.";"integer";"FALSE";"observation";"active";"Seelding/Vegetative vigor";;"SES 4th Ed. 1996";;;"1= Extra vigorous (very fast growing; plants at 5 leaf stage have 2 or more tillers in majority of population)\n3= Vigorous (fast growing; plants at 4-5 leaf stage have 1-2 tillers in majority of population)\n5= Normal (plant at 4-leaf stage)\n7= Weak (plants somewhat stunted; 3-4 leaves; thin population; no tiller formation)\n9= Very weak (stunted growth; yellowing of leaves).";;"categorical";;;1;9;"agronomic";"seedling/vegetative vigor";;;"added by consie"
;"VG";"Seedling/vegetative vigor";"Several factors may interact, influencing seedling vigor (e.g. tillering ability, plant height, leaf number, leaf area, leaf greenness, etc.). Use this scale for evaluating genetic material and varieties under stress and non-stress conditions. At growth stage, seedling vigor: 2, vegetative vigor: 3.";"integer";"FALSE";"observation";"active";"Seedling/Vegetative Vigor";;"SES 5th Ed. 2013";;;"1= Extra vigorous (very fast growing; plants at 5-6 leaf stage have 2 or more tillers in majority of population)\n3= Vigorous (fast growing; plants at 4-5 stage have 1-2 tillers in majority of population)\n5= Normal (plant at 4-leaf stage)\n7= Weak (plants somewhat stunted; 3-4 leaves; thin population; no tiller formation)\n9= Very weak (stunted growth; yellowing of leaves).";;"categorical";;;1;9;"agronomic";"seedling/vegetative vigor";;;"added by consie"
"SHB_SCOR_0_9";"ShB";"sheath blight";"The trait is scored for the plant response to the agent Thanethoporus cucumeris (Rhizoctonia solani) causing narrow sheath blight. [CO:rs]\n\nSymptoms: Grayish-green lesions may enlarge and coalesce with other lesions, mostly on lower leaf sheaths, but occasionally on the leaves.";"integer";"FALSE";"observation";;"Sheath Blight";"CO_320:0000189";"Crop Ontology";;;"SCALE (relative lesion height: disease progress relative to plant height; Ahn and Mew, 1986)\n0= No infection observed\n1= Lesions limited to lower 20% of the plant height\n3= 20-30%\n5= 31-45%\n7= 46-65%\n9= More than 65%. [SES:37]";;"categorical";;;0;9;"stress";;;;"added by consie"
;;"sheath rot";"The trait is scored for the plant response to the agent Soracladium oryzae causing sheath rot. [CO:rs]\n\nSymptoms: Oblong or irregular brown to grey lesions on the leaf sheath near panicle; sometimes coalescing to prevent emergence of panicle.";"integer";"FALSE";"observation";;"Sheath rot";"CO_320:0000185";"Crop Ontology";;"At growth stage: 7-9";"SCALE (Incidence: % diseased tillers)\n0= No disease observed\n1= Less than 1%\n3= 1-5%\n5= 6-25%\n7= 26-50%\n9= 51-100%. [SES:38]";;"categorical";;;0;9;"stress";;;;"added by consie"
;"ShR";"sheath rot";"Causal agent: Sarocladium oryzae.\n\nSymptoms: Obling or irregular brown to grey lesions on the lead sheath near panicle; somtimes coalescing to prevent emergence of panicle.";"integer";"FALSE";"observation";;"Sheath rot";;"SES 4th Ed. 1996";;"At growth stage: 7-9";"Scale (Incidence of severely affected tillers)\n0= No incidence\n1= Less than 1%\n3= 1-5%\n5= 6-25%\7= 26-50%\n9= 51-100%";;"categorical";;;0;9;"stress";;;;"added by consie"
